Timestamp,Method,Grid_Size,Threads,Omega,Threshold,Iterations,Final_Error,Execution_Time_Sec
Tue Mar 17 16:01:08 2026,Jacobi,256,1,1.70,0.000010,75485,0.00001000,40.7620
Tue Mar 17 16:01:30 2026,Jacobi,256,2,1.70,0.000010,75485,0.00001000,21.3693
Tue Mar 17 16:01:42 2026,Jacobi,256,4,1.70,0.000010,75485,0.00001000,12.4451
Tue Mar 17 16:01:52 2026,Jacobi,256,8,1.70,0.000010,75485,0.00001000,10.3581
Tue Mar 17 16:02:00 2026,Jacobi,256,16,1.70,0.000010,75485,0.00001000,7.7953
Tue Mar 17 16:02:06 2026,SOR,256,1,1.70,0.000010,9476,0.00000999,5.6041
Tue Mar 17 16:02:09 2026,SOR,256,2,1.70,0.000010,9476,0.00000999,3.0651
Tue Mar 17 16:02:11 2026,SOR,256,4,1.70,0.000010,9476,0.00000999,1.7672
Tue Mar 17 16:02:12 2026,SOR,256,8,1.70,0.000010,9476,0.00000999,1.5165
Tue Mar 17 16:02:14 2026,SOR,256,16,1.70,0.000010,9476,0.00000999,1.1695
Wed Mar 18 15:36:57 2026,Jacobi,10,12,1.70,0.001000,126,0.00097539,2.0977
Wed Mar 18 16:07:10 2026,Jacobi,10,12,1.70,0.001000,78,0.00098131,1.2997
